index,TCP_Number,Year,cleaned_year
4093,A13848,1632,1632
4094,A13862,1535,1535
4095,A13875,1620,1620
4096,A13897,1526,1526
4097,A13916,1599,1599
4098,A13918,1541,1541
4099,A13919,1537,1537
4100,A13920,1555,1555
4101,A13924,1534,1534
4102,A13925,1542,1542
4103,A13926,1612,1612
4104,A13930,1493,1493
4105,A13934,1533,1533
4106,A13936,1510,1510
4107,A13955,1564,1564
4108,A13957,1621,1621
4109,A13960,1611,1611
4110,A13961,1612,1612
4111,A13962,1567,1567
4112,A13963,1599,1599
4113,A13964,1591,1591
4114,A13968,1604,1604
4115,A13972,1621,1621
4116,A13977,1564,1564
4117,A13980,1606,1606
4118,A13983,1636,1636
4119,A13985,1640,1640
4120,A13988,1562,1562
4121,A13990,1635,1635
4122,A13993,1615,1615
4123,A13994,1625,1625
4124,A13996,1613,1613
4125,A13997,1609,1609
4126,A14001,1614,1614
4127,A14003,1609,1609
4128,A14004,1613,1613
4129,A14005,1617,1617
4130,A14007,1616,1616
4131,A14008,1607,1607
4132,A14009,1558,1558
4133,A14010,1522,1522
4134,A14011,1518,1518
4135,A14012,1560,1560
4136,A14014,1539,1539
4137,A14015,1633,1633
4138,A14016,1575,1575
4139,A14017,1611,1611
4140,A14019,1567,1567
4141,A14021,1575,1575
4142,A14027,1542,1542
4143,A14028,1597,1597
4144,A14033,1565,1565
4145,A14035,1615,1615
4146,A14045,1612,1612
4147,A14048,1545,1545
4148,A14050,1565,1565
4149,A14061,1629,1629
4150,A14064,1573,1573
4151,A14083,1616,1616
4152,A14091,1621,1621
4153,A14092,1632,1632
4154,A14095,1631,1631
4155,A14096,1631,1631
4156,A14103,1576,1576
4157,A14104,1580,1580
4158,A14129,1624,1624
4159,A14132,1526,1526
4160,A14133,1536,1536
4161,A14135,1548,1548
4162,A14136,1528,1528
4163,A14144,1528,1528
4164,A14146,1547,1547
4165,A14150,1536,1536
4166,A14151,1548,1548
4167,A14153,1533,1533
4168,A14159,1573,1573
4169,A14160,1598,1598
4170,A14172,1584,1584
4171,A14176,1588,1588
4172,A14178,1593,1593
4173,A14184,1588,1588
4174,A14186,1578,1578
4175,A14187,1584,1584
4176,A14189,1584,1584
4177,A14190,1588,1588
4178,A14191,1588,1588
4179,A14193,1566,1566
4180,A14194,1624,1624
4181,A14203,1638,1638
4182,A14204,1612,1612
4183,A14210,1609,1609
4184,A14212,1600,1600
4185,A14227,1624,1624
4186,A14233,1631,1631
4187,A14239,1624,1624
4188,A14241,1631,1631
4189,A14249,1625,1625
4190,A14257,1555,1555
4191,A14258,1638,1638
4192,A14268,1600,1600
4193,A14273,1615,1615
4194,A14275,1590,1590
4195,A14277,1615,1615
4196,A14285,1542,1542
4197,A14287,1610,1610
4198,A14289,1630,1630
4199,A14290,1640,1640
4200,A14292,1626,1626
4201,A14293,1600,1600
4202,A14295,1600,1600
4203,A14298,1612,1612
4204,A14301,1630,1630
4205,A14305,1630,1630
4206,A14307,1619,1619
4207,A14313,1621,1621
4208,A14315,1572,1572
4209,A14316,1632,1632
4210,A14320,1602,1602
4211,A14325,1628,1628
4212,A14326,1621,1621
4213,A14328,1620,1620
4214,A14334,1611,1611
4215,A14335,1602,1602
4216,A14338,1591,1591
4217,A14341,1546,1546
4218,A14345,1637,1637
4219,A14347,1550,1550
4220,A14354,1555,1555
4221,A14379,1631,1631
4222,A14380,1618,1618
4223,A14381,1633,1633
4224,A14382,1630,1630
4225,A14386,1627,1627
4226,A14387,1586,1586
4227,A14394,1577,1577
4228,A14395,1605,1605
4229,A14408,1602,1602
4230,A14419,1628,1628
4231,A14422,1627,1627
4232,A14428,1627,1627
4233,A14435,1611,1611
